run_time,ref_date,risk_level,red_count,effective_red_count,effective_threshold,market_state,adx_value,s1_turnover_ratio,s1_red,s2_divergence,s2_red,s3_ad_ratio,s3_red,s4_dividend_spread,s4_red,s5_growth_ret,s5_red,s6_net_leverage,s6_red,position_advice,advice_desc,data_sufficient
2026-08-19 22:52:58,2026-08-18,normal,0,,,,,0.0241,False,,False,,False,,False,,False,,,维持当前仓位,0个红灯，未达预警门槛,False
2026-08-19 23:04:47,2026-08-18,warn,2,,,,,0.0241,False,0.9042,False,,False,0.1174,True,-0.0871,True,,,8成 → 7成,小幅降低或保持观察,False
2026-08-19 23:07:21,2026-08-18,warn,2,,,,,,False,0.9042,False,,False,0.1174,True,-0.0871,True,,,8成 → 7成,小幅降低或保持观察,False
2026-08-19 23:08:12,2026-08-18,warn,2,,,,,,False,0.9042,False,,False,0.1174,True,-0.0871,True,,,8成 → 7成,小幅降低或保持观察,False
2026-08-19 23:16:40,2026-08-18,warn,2,,,,,0.0,False,0.9042,False,,False,0.1174,True,-0.0871,True,,,8成 → 7成,小幅降低或保持观察,False
2026-08-19 23:21:07,2026-08-18,warn,2,,,,,0.0239,False,0.9042,False,,False,0.1174,True,-0.0871,True,,,8成 → 7成,小幅降低或保持观察,False
2026-08-19 23:21:58,2026-08-18,warn,2,,,,,0.0239,False,0.9042,False,,False,0.1174,True,-0.0871,True,,,8成 → 7成,小幅降低或保持观察,False
2026-08-19 23:24:06,2026-08-18,warn,2,,,,,0.0239,False,0.9042,False,,False,0.1077,True,-0.0774,True,,,8成 → 7成,小幅降低或保持观察,False
2026-08-19 23:27:53,2026-08-18,warn,2,,,,,0.0239,False,0.9042,False,,False,0.1077,True,-0.0774,True,,,8成 → 7成,小幅降低或保持观察,False
2026-08-19 23:30:36,2026-08-18,warn,2,,,,,0.0239,False,0.9042,False,,False,0.1077,True,-0.0774,True,,,8成 → 7成,小幅降低或保持观察,False
2026-08-20 06:47:15,2026-08-19,warn,2,,,,,0.0239,False,0.9042,False,,False,0.1174,True,-0.0871,True,,,8成 → 7成,小幅降低或保持观察,False
2026-08-20 11:01:18,2026-08-19,warn,2,,,,,2,4,neutral,,0.0118,False,0.9042,False,,False,,,0.1174,True,-0.0871
2026-08-20 11:02:15,2026-08-19,high,2,,,,,3,3,range,15.04,0.0119,False,0.9042,False,,False,,,0.1174,True,-0.0871
2026-08-20 11:03:08,2026-08-19,high,2,,,,,3,3,range,15.04,0.0119,False,0.9042,False,,False,,,0.1174,True,-0.0871
