date,up_count,down_count,flat_count,ad_ratio
2026-09-01,3093,1995,119,1.550375939849624
2026-09-02,1246,3858,104,0.3229652669777086
2026-09-03,1805,3275,129,0.5511450381679389
2026-09-04,2249,2773,185,0.8110349801658854
2026-09-07,3039,1987,181,1.529441368897836
2026-09-08,3257,1859,91,1.752017213555675
2026-09-10,931,4192,83,0.2220896946564885
2026-09-11,604,4567,36,0.1322531202102036
2026-09-16,3887,1134,185,3.427689594356261
2026-09-17,2503,2558,148,0.9784988272087568
2026-09-18,3937,1109,163,3.550045085662759
2026-09-21,4216,914,79,4.612691466083151
