date,rzye_yuan,rzmre_yuan,rqye_yuan,rzrqye_yuan,rqmcl,rqyl
2026-09-01,2628538287237.0,174742742865.0,29606423004.0,2658144710241.0,148751631.0,4354375480.0
2026-09-02,2623074259547.0,148780553522.0,29428198146.0,2652503457693.0,88014625.0,4366152437.0
2026-09-03,2619037630194.0,148615882394.0,29177843637.0,2648215473831.0,81014503.0,4332846112.0
2026-09-04,2600775107313.0,166874459801.0,28582573089.0,2629357680402.0,77341155.0,4291060345.0
2026-09-07,2612302636922.0,174026678628.0,28736376378.0,2641040013300.0,82554861.0,4266804974.0
2026-09-09,2611024158663.0,154379048161.0,29197003286.0,2640222161949.0,87657778.0,4274696244.0
2026-09-11,1331064677815.0,85672994649.0,18472436352.0,1349537114167.0,86905311.0,3129288693.0
2026-09-15,2590009618920.0,134504949560.0,29183272513.0,2619192891433.0,79656947.0,4346973984.0
2026-09-16,2599189305694.0,168885018949.0,29260378441.0,2628450684135.0,72936165.0,4313623107.0
2026-09-18,1334561902108.0,99491145691.0,18713016200.0,1353274918308.0,54014116.0,3122423378.0
