date,open,high,low,close,volume,amount,pctChg
2026-01-05,1.279,1.299,1.279,1.299,5842200,7543747.0,1.5637
2026-01-06,1.3,1.313,1.297,1.312,5470800,7146876.0,1.0008
2026-01-07,1.312,1.326,1.308,1.315,8639100,11350668.0,0.2287
2026-01-08,1.332,1.334,1.303,1.317,9355800,12272319.0,0.1521
2026-01-09,1.314,1.335,1.309,1.324,7942700,10521050.0,0.5315
2026-01-12,1.325,1.333,1.309,1.328,7783500,10321457.0,0.3021
2026-01-13,1.323,1.333,1.306,1.321,7884700,10394394.0,-0.5271
2026-01-14,1.318,1.35,1.309,1.315,16469200,21892142.0,-0.4542
2026-01-15,1.308,1.331,1.308,1.323,9331700,12340610.0,0.6084
2026-01-16,1.329,1.342,1.32,1.324,5551000,7392903.0,0.0756
2026-01-19,1.326,1.344,1.314,1.34,10422300,13867791.0,1.2085
2026-01-20,1.347,1.347,1.308,1.316,9008700,11907131.0,-1.791
2026-01-21,1.304,1.329,1.304,1.315,6949900,9160567.0,-0.076
2026-01-22,1.316,1.329,1.308,1.316,8086700,10653986.0,0.076
2026-01-23,1.318,1.37,1.318,1.37,22921200,31034349.0,4.1033
2026-01-26,1.379,1.385,1.351,1.356,14180600,19453580.0,-1.0219
2026-01-27,1.346,1.361,1.311,1.355,18889400,25257526.0,-0.0737
2026-01-28,1.35,1.361,1.318,1.33,10358200,13766903.0,-1.845
2026-01-29,1.318,1.336,1.311,1.318,11044400,14582306.0,-0.9023
2026-01-30,1.31,1.323,1.277,1.309,10442200,13577016.0,-0.6829
2026-02-02,1.315,1.325,1.29,1.294,11041000,14462487.0,-1.1459
2026-02-03,1.295,1.334,1.295,1.332,17531400,23107155.0,2.9366
2026-02-04,1.326,1.363,1.324,1.362,10247400,13768394.0,2.2523
2026-02-05,1.343,1.346,1.309,1.318,13813200,18264129.0,-3.2305
2026-02-06,1.299,1.346,1.298,1.331,9507200,12619956.0,0.9863
2026-02-09,1.341,1.364,1.341,1.359,7617000,10334041.0,2.1037
2026-02-10,1.356,1.359,1.344,1.349,12365400,16683636.0,-0.7358
2026-02-11,1.35,1.354,1.345,1.348,6399400,8631002.0,-0.0741
2026-02-12,1.348,1.362,1.348,1.36,6214700,8427541.0,0.8902
2026-02-13,1.354,1.354,1.335,1.335,9339800,12551759.0,-1.8382
2026-02-24,1.345,1.356,1.344,1.348,9012300,12151918.0,0.9738
2026-02-25,1.347,1.37,1.346,1.362,5648600,7681660.0,1.0386
2026-02-26,1.366,1.366,1.339,1.348,9983300,13421368.0,-1.0279
2026-02-27,1.343,1.355,1.341,1.355,7422400,10017280.0,0.5193
2026-03-02,1.34,1.366,1.337,1.349,10052100,13589054.0,-0.4428
2026-03-03,1.354,1.373,1.329,1.332,11349200,15294921.0,-1.2602
2026-03-04,1.315,1.342,1.3,1.329,22214700,29476802.0,-0.2252
2026-03-05,1.337,1.348,1.332,1.342,12913800,17315816.0,0.9782
2026-03-06,1.34,1.353,1.328,1.342,20871300,28085988.0,0.0
2026-03-09,1.329,1.371,1.323,1.37,30405200,41079285.0,2.0864
