date,open,high,low,close,volume,amount
2026-08-24,1.749,1.767,1.739,1.755,51589200.0,90692500.0
2026-08-25,1.746,1.777,1.746,1.758,48036800.0,84649700.0
2026-08-26,1.739,1.755,1.72,1.749,49870700.0,87071500.0
2026-08-27,1.739,1.78,1.739,1.768,67246200.0,118890800.0
2026-08-28,1.785,1.786,1.754,1.778,63948600.0,113100600.0
2026-08-31,1.792,1.831,1.782,1.805,59831200.0,107530400.00000001
2026-09-01,1.805,1.82,1.775,1.777,80061600.0,144195900.0
2026-09-02,1.799,1.813,1.737,1.743,92210900.0,162135400.0
2026-09-03,1.733,1.762,1.731,1.738,51349400.0,89757500.0
2026-09-04,1.737,1.754,1.73,1.742,45970100.0,79971900.0
2026-09-07,1.739,1.742,1.687,1.707,56497900.0,96420700.0
2026-09-08,1.703,1.746,1.696,1.746,46879500.0,81030000.0
2026-09-09,1.74,1.78,1.731,1.773,51373500.0,90241600.0
2026-09-10,1.774,1.777,1.747,1.749,52291100.0,92010100.0
2026-09-11,1.763,1.764,1.725,1.73,71942400.0,125239900.0
2026-09-14,1.727,1.749,1.702,1.71,85805600.0,147513000.0
2026-09-15,1.713,1.719,1.701,1.706,61384700.0,104902900.00000001
2026-09-16,1.709,1.714,1.68,1.701,52144800.0,88372900.00000001
2026-09-17,1.697,1.697,1.667,1.68,56838200.0,95639700.0
2026-09-18,1.662,1.686,1.662,1.679,45294400.0,75954300.0
2026-09-21,1.675,1.716,1.667,1.714,105027700.0,178146000.0
