date,open,high,low,close,volume,amount
2021-12-29,1.0,1.001,0.984,0.988,85243550.0,84528400.0
2021-12-30,0.988,0.998,0.988,0.993,27276600.0,27147199.999999996
2021-12-31,0.993,1.0,0.992,0.993,2325200.0,2312600.0
2022-01-04,0.998,0.999,0.983,0.987,4707150.0,4652900.0
2022-01-05,0.987,0.987,0.951,0.955,9300800.0,8962600.0
2022-01-06,0.955,0.961,0.938,0.957,4298600.0,4087600.0
2022-01-07,0.957,0.967,0.94,0.945,2950900.0,2806900.0
2022-01-10,0.943,0.96,0.931,0.943,1201600.0,1130800.0
2022-01-11,0.949,0.95,0.931,0.936,2841500.0,2672100.0
2022-01-12,0.936,0.953,0.936,0.952,6928200.0,6548900.0
2022-01-13,0.953,0.953,0.935,0.938,1754300.0,1652400.0
2022-01-14,0.936,0.94,0.922,0.929,12035000.0,11176500.0
2022-01-17,0.934,0.955,0.93,0.953,4974500.0,4702700.0
2022-01-18,0.964,0.966,0.945,0.957,4799900.0,4604400.0
2022-01-19,0.957,0.962,0.941,0.944,1199500.0,1139100.0
2022-01-20,0.948,0.951,0.937,0.941,3221400.0,3037200.0000000005
2022-01-21,0.931,0.964,0.924,0.927,3607800.0,3355400.0
2022-01-24,0.92,0.966,0.92,0.925,3450100.0,3196900.0
2022-01-25,0.926,0.94,0.897,0.904,5350100.0,4868000.0
2022-01-26,0.908,0.924,0.895,0.907,3239600.0,2926800.0
2022-01-27,0.9,0.904,0.865,0.867,5665800.0,4987300.0
2022-01-28,0.918,0.922,0.86,0.881,4494700.0,3941700.0
2022-02-07,0.882,0.92,0.872,0.875,2805500.0,2469600.0
2022-02-08,0.875,0.878,0.849,0.859,2509100.0,2149700.0
2022-02-09,0.858,0.87,0.848,0.861,4754900.0,4092100.0
2022-02-10,0.863,0.868,0.845,0.857,3878300.0,3308200.0
2022-02-11,0.857,0.857,0.841,0.842,1983000.0,1680700.0
2022-02-14,0.84,0.844,0.825,0.843,3747200.0,3114500.0
2022-02-15,0.843,0.856,0.84,0.855,4766200.0,4045100.0
2022-02-16,0.855,0.88,0.855,0.862,2163400.0,1866100.0000000002
2022-02-17,0.861,0.872,0.859,0.869,3121500.0,2709400.0
2022-02-18,0.853,0.866,0.853,0.862,812900.0,698700.0
2022-02-21,0.879,0.879,0.863,0.867,3620700.0,3137900.0
2022-02-22,0.861,0.861,0.85,0.854,2531600.0,2159600.0
2022-02-23,0.855,0.88,0.854,0.88,3865400.0,3365600.0
2022-02-24,0.878,0.889,0.858,0.87,4241500.0,3712300.0
2022-02-25,0.88,0.881,0.87,0.874,1996600.0,1751000.0
2022-02-28,0.879,0.879,0.86,0.872,4215200.0,3667200.0000000005
2022-03-01,0.872,0.88,0.871,0.875,2087800.0,1829199.9999999998
2022-03-02,0.875,0.875,0.863,0.867,877000.0,761000.0
2022-03-03,0.867,0.868,0.853,0.853,1319900.0,1134700.0
2022-03-04,0.853,0.854,0.84,0.843,2616100.0,2210500.0
