date,open,high,low,close,amount
2026-08-05,1615.26,1715.28,1615.26,1693.67,12956469.0
2026-08-06,1651.11,1727.73,1651.11,1701.29,12017178.0
2026-08-07,1697.37,1747.74,1686.66,1744.02,12141418.0
2026-08-10,1740.14,1752.93,1704.08,1737.77,10817174.0
2026-08-11,1713.26,1753.14,1699.92,1709.5,11830175.0
2026-08-12,1720.36,1747.94,1709.16,1736.99,9742544.0
2026-08-13,1763.46,1782.78,1715.34,1717.75,10577525.0
2026-08-14,1738.82,1741.35,1690.68,1717.68,8685139.0
2026-08-17,1721.55,1788.85,1718.61,1788.85,10847565.0
2026-08-18,1786.37,1798.78,1753.97,1790.87,11179921.0
2026-08-19,1738.91,1748.52,1653.67,1667.52,12227985.0
2026-08-20,1685.48,1694.36,1638.29,1652.97,9144025.0
2026-08-21,1649.28,1675.82,1640.62,1653.56,6975365.0
2026-08-24,1651.88,1651.96,1575.28,1602.34,8601909.0
2026-08-25,1584.52,1622.2,1564.77,1604.59,7171351.0
2026-08-26,1605.74,1644.72,1598.44,1632.02,7430315.0
2026-08-27,1646.84,1697.03,1637.33,1693.48,10107359.0
2026-08-28,1684.72,1711.99,1661.48,1662.15,8005009.0
2026-08-31,1623.2,1684.39,1620.36,1684.39,9696775.0
2026-09-01,1679.89,1684.02,1646.64,1647.53,7533502.0
2026-09-02,1623.53,1635.76,1607.19,1617.6,7081557.0
2026-09-03,1634.52,1636.32,1596.62,1611.17,6044152.0
2026-09-04,1627.95,1637.1,1566.87,1577.36,7539251.0
