date,code,name,continue_cnt,limit_up_reason,seal_money
2019-05-24,002579,中京电子,1,"华为概念+印刷电路板；公司是华为的二级供应商,为其提供消费电子相关配套产品供应与服务",34506600.0
2019-07-01,002579,中京电子,1,"华为概念+印刷电路板；公司是华为的二级供应商,为其提供消费电子相关配套产品供应与服务",515424.0
2022-06-10,002579,中京电子,1,"比亚迪产业链+汽车电子；1. 比亚迪产业链：比亚迪是公司长期合作大客户，公司向其提供包括新能源汽车应用在内的诸多领域产品服务，具体产品包括刚性电路板（RPC）、柔性电路板（FPC）及刚柔结合板（R-F)等。

2. 汽车电子：中京电子元盛电子系国内最早从事FPC开发的企业之一，也是目前国内FPC行业的龙头企业之一，在可靠性、精度要求高的激光读取头、汽车电子以及液晶显示模组等高端市场领域，元盛电子和日、韩企业开展竞争：配套日立等日系客户的激光读取头用单面FPC；配套中国香港精电的用于路虎、宝马电路系统的高可靠性汽车电子用FPC。",49803000.0
2022-06-13,002579,中京电子,2,"比亚迪产业链+汽车电子；1. 比亚迪产业链：比亚迪是公司长期合作大客户，公司向其提供包括新能源汽车应用在内的诸多领域产品服务，具体产品包括刚性电路板（RPC）、柔性电路板（FPC）及刚柔结合板（R-F)等。

2. 汽车电子：中京电子元盛电子系国内最早从事FPC开发的企业之一，也是目前国内FPC行业的龙头企业之一，在可靠性、精度要求高的激光读取头、汽车电子以及液晶显示模组等高端市场领域，元盛电子和日、韩企业开展竞争：配套日立等日系客户的激光读取头用单面FPC；配套中国香港精电的用于路虎、宝马电路系统的高可靠性汽车电子用FPC。",62977500.0
2022-07-28,002579,中京电子,1,汽车零部件(汽车电子)；中京电子元盛电子系国内最早从事FPC开发的企业之一，也是目前国内FPC行业的龙头企业之一，在可靠性、精度要求高的激光读取头、汽车电子以及液晶显示模组等高端市场领域，元盛电子和日、韩企业开展竞争：配套日立等日系客户的激光读取头用单面FPC；配套中国香港精电的用于路虎、宝马电路系统的高可靠性汽车电子用FPC。,17929100.0
2022-08-02,002579,中京电子,1,"机器人概念+军工；1. 机器人概念：消费及工业机器人均需较大量使用PCB（含FPC、RPC及R-F），公司已开始向相关客户提供应用产品服务。

2. 军工：子公司中京科技获得武器装备质量管理体系认证证书，表明中京科技产品质量管理体系已符合武器装备质量管理体系的国家军用标准，满足军用PCB的制造要求。",27002900.0
2022-08-05,002579,中京电子,1,"芯片+机器人概念；1. 芯片：公司持股天水华洋电子科技股份有限公司6.98%的股份。标的专注于半导体与集成电路（IC）引线框架的研发、生产、销售，在蚀刻IC 引线框架领域居国内领先地位。

2. 机器人概念：消费及工业机器人均需较大量使用PCB（含FPC、RPC及R-F），公司已开始向相关客户提供应用产品服务。",88430200.0
2022-08-11,002579,中京电子,1,"消费电子+先进封装；1. 消费电子：惠州中京电子科技股份有限公司的主营业务是新型电子元器件（高密度印刷线路板等）的研发、生产和销售。公司主要产品有双面板、多层板、HDI板和铝基板等印刷线路板.公司2007年被评为广东省高新技术企业,是广东省高新技术企业协会理事单位,2009年被认定为国家高新技术企业；公司系中国印制电路行业协会(CPCA)及美国印制电路协会(IPC)会员单位,中国印制电路板百强企业。

2. 先进封装：公司在互动易平台表示，Chiplet技术将各异质小芯片借助先进封装方式实现系统芯片功能，预计将推动封装工艺与封装材料发展。公司己积极投资开展半导体先进封装IC载板业务。",104753000.0
2022-08-12,002579,中京电子,2,"消费电子+机器人概念；1. 消费电子：惠州中京电子科技股份有限公司的主营业务是新型电子元器件（高密度印刷线路板等）的研发、生产和销售。公司主要产品有双面板、多层板、HDI板和铝基板等印刷线路板.公司2007年被评为广东省高新技术企业,是广东省高新技术企业协会理事单位,2009年被认定为国家高新技术企业；公司系中国印制电路行业协会(CPCA)及美国印制电路协会(IPC)会员单位,中国印制电路板百强企业。

2. 机器人概念：公司的柔性印制电路（FPC）可应用于人形机器人需求，公司已开始向相关客户提供应用产品。",229692000.0
2022-08-15,002579,中京电子,3,"先进封装+机器人概念；1. 先进封装：公司在互动易平台表示，Chiplet技术将各异质小芯片借助先进封装方式实现系统芯片功能，预计将推动封装工艺与封装材料发展。公司己积极投资开展半导体先进封装IC载板业务。

2. 机器人概念：公司的柔性印制电路（FPC）可应用于人形机器人需求，公司已开始向相关客户提供应用产品。",65489800.0
